No Break con Regulador de Voltaje CyberPower UPS Serie UT 550VA/275W;1,199.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;100167852
No Break Forza BT-751 750VA Negro;1,399.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;100252900
No Break Koblenz Platinum 9022 / 900 VA / 10 contactos / Negro;3,101.65;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;100012332
No Break CyberPower LX1100G3 1100VA/660WNegro;4,869.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;100235211
No Break Forza NT-511 / 500 VA / 6 contactos / Negro;1,669.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;75127
No Break Koblenz Platinum 7522 10 contactos 750VA;2,438.65;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;100012316
No Break CyberPower CP425SLG / 8 contactos / Negro;1,444.15;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;48103
No Break CyberPower OM900ATLCD / 6 contactos / Negro;2,421.65;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;71749
No Break Forza NT-751 / 750 VA / 6 contactos / Negro;2,299.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;75128
No Break Forza NT-1011 / 1000 VA / 6 contactos / Negro;2,949.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;75129
No Break Koblenz 15007 / USB-R / 7 contactos / Negro;4,094.35;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;75503
No Break 5416R Koblenz / 540 VA / 8 contactos / Negro;1,699.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;100034620
No Break CyberPower CP1500PFCLCDA 1500VA/1000W Negro;6,799.00;;;;2025-08-27;Nobreaks;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;;MXN;;100250411
